canonical_paper_id,title,venue,year,paper_type,doi
bergemann-brooks-morris_nodate_on-the-alignment-of-consumer-surplus-and-total-surplus-under,On the Alignment of Consumer Surplus and Total Surplus Under Competitive Price Discrimination,American Economic Journal: Microeconomics,,published,
bergemann-heumann-morris-sorokin-winter_2022_optimal-information-disclosure-in-classic-auctions,Optimal Information Disclosure in Classic Auctions,"American Economic Review 4, 371-388",2022,published,
bergemann-heumann-morris_2015_information-and-volatility,Information and Volatility,"Journal of Economic Theory 158, 427-465",2015,published,
bergemann-heumann-morris_2021_information-market-power-and-price-volatility,"Information, Market Power and Price Volatility","RAND Journal of Economics 52, 125-150",2021,published,
bergemann-heumann-morris_2026_information-design-and-mechanism-design-an-integrated-framew,Information Design and Mechanism Design: An Integrated Framework,"Advances in Economics and Econometrics: Proceedings of the 13th World Congress of the Econometric Society, edited by Rachel Griffith, Yuriy Gorodnichenko, Michihiro Kandori and Francesca Molinari",2026,published,
bergemann-heumann-morris_nodate_screening-with-persuasion,Screening with Persuasion,Journal of Political Economy,,published,
bergemann-morris-takahashi_2012_efficient-auctions-and-interdependent-types,Efficient Auctions and Interdependent Types,"American Economic Review 102, 319-324",2012,published,
bergemann-morris-takahashi_2017_interdependent-preferences-and-strategic-distinguishability,Interdependent Preferences and Strategic Distinguishability,"Journal of Economic Theory 168, 329-371",2017,published,
bergemann-morris-tercieux_2011_rationalizable-implementation,Rationalizable Implementation,"Journal of Economic Theory 146, 1253-1274",2011,published,
bergemann-morris_2005_robust-mechanism-design,Robust Mechanism Design,"Econometrica 73, 1771-1813",2005,published,
bergemann-morris_2007_an-ascending-auction-for-interdependent-values-uniqueness-an,An Ascending Auction for Interdependent Values: Uniqueness and Robustness to Strategic Uncertainty,"American Economic Association Papers and Proceedings 97, 125-130",2007,published,
bergemann-morris_2008_ex-post-implementation,Ex Post Implementation,"Games and Economic Behavior 63, 527-566",2008,published,
bergemann-morris_2008_the-role-of-the-common-prior-in-robust-implementation,The Role of the Common Prior in Robust Implementation,"Journal of the European Economic Association 6 , 551-559",2008,published,
bergemann-morris_2009_robust-implementation-in-direct-mechanisms,Robust Implementation in Direct Mechanisms,"The Review of Economic Studies 76, 1175-1204",2009,published,
bergemann-morris_2009_robust-virtual-implementation,Robust Virtual Implementation,"Theoretical Economics 4, 45-88",2009,published,
bergemann-morris_2011_robust-implementation-in-general-mechanisms,Robust Implementation in General Mechanisms,"Games and Economic Behavior 71, 261-281",2011,published,
bergemann-morris_2012_robust-mechanism-design-the-role-of-private-information-and-,Robust Mechanism Design: The Role of Private Information and Higher Order Beliefs,World Scientific,2012,published,
bergemann-morris_2013_an-introduction-to-robust-mechanism-design,An Introduction to Robust Mechanism Design,"Foundations and Trends in Microeconomics 8, 169-230",2013,published,
bergemann-morris_2013_robust-predictions-in-games-of-incomplete-information,Robust Predictions in Games of Incomplete Information,"Econometrica 81, 1251-1308",2013,published,
bergemann-morris_2016_bayes-correlated-equilibrium-and-the-comparison-of-informati,Bayes Correlated Equilibrium and The Comparison of Information Structures in Games,"Theoretical Economics 11, 487-522",2016,published,
bergemann-morris_2016_information-design-bayesian-persuasion-and-bayes-correlated-,"Information Design, Bayesian Persuasion and Bayes Correlated Equilibrium","American Economic Review 106, 586-591",2016,published,
bergemann-morris_2017_belieffree-rationalizability-and-informational-robustness,Belief-Free Rationalizability and Informational Robustness,"Games and Economic Behavior 104, 744-759",2017,published,
bergemann-morris_2019_information-design-a-unified-perspective,Information Design: A Unified Perspective,"Journal of Economic Literature 57, 44-95",2019,published,
berger-caballero-engel_2018_missing-aggregate-dynamics-and-var-approximations-of-lumpy-a,Missing Aggregate Dynamics and VAR Approximations of Lumpy Adjustment Models,,2018,published,
berger-miller-petersen-rajan-stein_2005_does-function-follow-organizational-form-evidence-from-the-l,Does Function Follow Organizational Form? Evidence from the Lending Practices of Large and Small Banks,Journal of Financial Economics,2005,published,
bergeron-bessone-kabeya-tourek-weigel_nodate_supermodular-bureaucrats-evidence-from-randomly-assigned-tax,Supermodular Bureaucrats: Evidence from Randomly Assigned Tax Collectors in the DRC,American Economic Review,,published,
bergeron-carvalho-henrich-nunn-weigel_nodate_zerosum-environments-the-evolution-of-effortsuppressing-beli,"Zero-Sum Environments, the Evolution of Effort-Suppressing Beliefs, and Economic Development",,,working,
bergeron-ngindu-tourek-weigel_nodate_does-collecting-taxes-erode-the-responsiveness-of-informal-l,Does Collecting Taxes Erode the Responsiveness of Informal Leaders? Evidence from the D.R.C,,,working,
bergeron-o_nodate_barriers-to-legibility-evidence-from-six-randomized-experime,"Barriers to Legibility: Evidence from Six Randomized Experiments on Transaction Costs, Public Services, and Taxation in Low and Middle-Income Countries",,,working,
bergeron-tourek-weigel_2024_the-state-capacity-ceiling-on-tax-rates-evidence-from-random,The State Capacity Ceiling on Tax Rates: Evidence from Randomized Tax Abatements in the D.R. Congo,Econometrica,2024,published,
bergeron_nodate_from-kin-to-creed-missions-and-the-reconfiguration-of-social,From Kin to Creed: Missions and the Reconfiguration of Social and Moral Order in Colonial Congo,,,working,
berglund-bondarenko-cutler-ghosh-imbriano-messer-raghunathan-rosen-shaffer-stewart_2021_combining-information-from-multiple-data-sources-to-assess-p,Combining Information from Multiple Data Sources to Assess Population Health,Journal of Survey Statistics and Methodology,2021,published,
bergman-chetty-deluca-hendren-katz-palmer_2024_creating-moves-to-opportunity-experimental-evidence-on-barri,Creating Moves to Opportunity: Experimental Evidence on Barriers to Neighborhood Choice,American Economic Review,2024,published,
bergstresser-melitz_2017_the-jones-act-and-the-cost-of-shipping-between-us-ports,The Jones Act and the Cost of Shipping Between U.S. Ports,,2017,working,
bergstresser-poterba_2001_do-aftertax-returns-affect-mutual-fund-inflows,Do after-tax returns affect mutual fund inflows?,Journal of Financial Economics 63,2001,published,
bergstresser-poterba_2003_asset-allocation-and-asset-location-household-evidence-from-,Asset Allocation and Asset Location: Household Evidence from the Survey of Consumer Finances,Journal of Public Economics 88,2003,published,
berk-beshears-choi-garg-laibson_2025_employerbased-shortterm-savings-accounts,Employer-based short-term savings accounts,"Lucia A. Reisch and Cass R. Sunstein, editors, The Elgar Companion to Consumer Behaviour and the Sustainable Development Goals",2025,published,
bernanke-campbell-whited_1990_us-corporate-leverage-developments-in-1987-and-1988,U.S. Corporate Leverage: Developments in 1987 and 1988,Brookings Papers on Economic Activity,1990,published,
bernanke-obstfeld-rogoff_2000_the-six-major-puzzles-in-international-macroeconomics-is-the,The Six Major Puzzles in International Macroeconomics: Is there a Common Cause?,NBER Macroeconomics Annual 2000,2000,published,
bernard-freeman_1996_what-can-unions-do-in-transition-economies,What Can Unions Do in Transition Economies?,Employee Representation in Economies in Transition,1996,published,
bernardi-isen-katz-metz-miller-yang_2022_an-earned-income-tax-credit-that-works-for-singles-final-imp,An Earned Income Tax Credit That Works for Singles: Final Impact Findings from the Paycheck Plus Demonstration in Atlanta,,2022,working,
berndt-cremieux-cutler-fournier-long-royer-sasser_2007_the-value-of-antihypertensive-drugs-a-perspective-on-medical,The Value of Antihypertensive Drugs: A Perspective on Medical Innovation,Health Affairs,2007,published,
berndt-cutler-frank-griliches-newhouse-triplett_2000_medical-care-prices-and-output,Medical Care Prices and Output,"in Anthony Culyer and Joseph Newhouse, Handbook of Health Economics, Volume IA",2000,published,
berndt-cutler-frank-griliches-newhouse-triplett_2000_price-indexes-for-medical-care-goods-and-services-an-overvie,Price Indexes for Medical Care Goods and Services: An Overview of Measurement Costs,"in David Cutler and Ernst Berndt, eds., Medical Care Output and Productivity, Chicago: University of Chicago Press",2000,published,
berndt-gibbons-kolotilin-taub_2015_the-heterogeneity-of-concentrated-prescribing-behavior-theor,The Heterogeneity of Concentrated Prescribing Behavior: Theory and Evidence from Antipsychotics,Journal of Health Economics,2015,published,
bernheim-shleifer-summers_1985_the-strategic-bequest-motive,The Strategic Bequest Motive,Journal of Political Economy,1985,published,
berns-laibson-loewenstein_2007_intertemporal-choice-toward-an-integrative-framework,Intertemporal choice - toward an integrative framework,Trends in Cognitive Sciences,2007,published,
bernstein-diamond-jiranaphawiboon-mcquade-pousada_2025_the-contribution-of-highskilled-immigrants-to-innovation-in-,The Contribution of High-Skilled Immigrants to Innovation in the United States,,2025,working,
berry-glaeser_2005_the-divergence-of-human-capital-levels-across-cities,The Divergence of Human Capital Levels across Cities,,2005,working,
berry-levinsohn-pakes_2004_differentiated-products-demand-systems-from-a-combination-of,Differentiated Products Demand Systems from a Combination of Micro and Macro Data: The New Car Market,Journal of Political Economy,2004,published,
berry-linton-pakes_2004_limit-theorems-for-estimating-the-parameters-of-differentiat,Limit Theorems for Estimating the Parameters of Differentiated Product Demand Systems,Review of Economic Studies,2004,published,
berry-ostrovsky-pakes_2007_simple-estimators-for-the-parameters-of-discrete-dynamic-gam,Simple Estimators for the Parameters of Discrete Dynamic Games (with Entry / Exit Examples),RAND Journal of Economics,2007,published,
berry-pakes_2007_the-pure-characteristics-demand-model,The Pure Characteristics Demand Model,International Economic Review,2007,published,
berry-tamer_2006_identification-in-models-of-oligopoly-entry,Identification in Models of Oligopoly Entry,Advances in Economics and Econometrics,2006,published,
berth\'elemy-maskin-monga-thuilliez_2018_money-mosquitoes-the-economics-of-malaria-in-an-age-of-decli,Money \& Mosquitoes The Economics of Malaria In An Age of Declining Aid,,2018,working,
berth\'elemy-maskin-monga-thuilliez_2019_the-economics-of-malaria-control-in-an-age-of-declining-aid,The economics of malaria control in an age of declining aid,Nature Communications,2019,published,
bertola-caballero_1990_kinked-adjustment-costs-and-aggregate-dynamics,Kinked Adjustment Costs and Aggregate Dynamics,"in NBER Macroeconomics Annual 1990, Cambridge: The MIT Press, January 1990,  237 - 296",1990,published,
bertola-caballero_1992_sustainable-intervention-policies-and-exchange-rate-dynamics,Sustainable Intervention Policies and Exchange Rate Dynamics,"Exchange Rate Targets and Currency Bands, Cambridge University Press",1992,published,
bertola-caballero_1992_target-zones-and-realignments,Target Zones and Realignments,American Economic Review,1992,published,
bertola-caballero_1994_crosssectional-efficiency-and-labor-hoarding-in-a-matching-m,Cross-Sectional Efficiency and Labor Hoarding in a Matching Model of Unemployment,The Review of Economic Studies,1994,published,
bertola-caballero_1994_irreversibility-and-aggregate-investment,Irreversibility and Aggregate Investment,The Review of Economic Studies,1994,published,
bertrand-chugh-mullainathan_2005_implicit-discrimination,"Implicit Discrimination,",American Economics Review,2005,published,
bertrand-djankov-hanna-mullainathan_2007_obtaining-a-drivers-license-in-india-an-experimental-approac,"Obtaining a Driver's License in India: An Experimental Approach to Studying Corruption,",The Quarterly Journal of Economics,2007,published,
bertrand-duflo)-mullainathan_2004_how-much-should-we-trust-differenceindifference-estimates,How Much Should We Trust Difference-in-Difference Estimates?,The Quarterly Journal of Economics,2004,published,
bertrand-goldin-katz_2010_dynamics-of-the-gender-gap-among-young-professionals-in-the-,Dynamics of the Gender Gap among Young Professionals in the Corporate and Financial Sectors,"American Economic Journal: Applied Economics, 2 (July",2010,published,
bertrand-goldin-katz_2010_dynamics-of-the-gender-gap-for-young-professionals-in-the-fi,Dynamics of the Gender Gap for Young Professionals in the Financial and Corporate Sectors,American Economic Journal: Applied Economics,2010,published,
bertrand-hanna-mullainathan_2010_affirmative-action-in-education-evidence-from-engineering-co,"Affirmative Action in Education: Evidence from Engineering College Admissions in India,",Journal of Public Economics,2010,published,
bertrand-karlan-mullainathan-shafir-zinman_2010_whats-advertising-content-worth-evidence-from-a-consumer-cre,"What's Advertising Content Worth? Evidence from a Consumer Credit Marketing Field Experiment,",The Quarterly Journal of Economics,2010,published,
bertrand-luttmer-mullainathan_2000_network-effects-and-welfare-cultures,"Network Effects and Welfare Cultures,",Quarterly Journal of Economics,2000,published,
bertrand-mehta-mullainathan_2002_ferreting-out-tunneling-an-application-to-indian-business-gr,"Ferreting Out Tunneling: An Application to Indian Business Groups,",The Quarterly Journal of Economics,2002,published,
bertrand-miller-mullainathan_2003_public-policy-and-extended-families-evidence-from-south-afri,"Public Policy and Extended Families: Evidence from South Africa,",World Bank Economic Review,2003,published,
bertrand-mullainathan-shafir_2004_a-behavioral-economics-view-of-poverty,"A Behavioral Economics View of Poverty,",American Economic Review,2004,published,
bertrand-mullainathan-shafir_2006_behavioral-economics-and-marketing-in-aid-of-decisionmaking-,"Behavioral Economics and Marketing in Aid of Decision-Making among the Poor,","Journal of Public Policy and Marketing, 25",2006,published,
bertrand-mullainathan_1998_executive-compensation-and-incentives-the-impact-of-takeover,"Executive Compensation and Incentives: The Impact of Takeover Legislation,",,1998,working,
bertrand-mullainathan_1999_is-there-discretion-in-wage-setting,Is there Discretion in Wage Setting?,Rand Journal of Economics,1999,published,
bertrand-mullainathan_2000_agents-with-and-without-principals,"Agents With and Without Principals,",American Economic Review Papers and Proceedings,2000,published,
bertrand-mullainathan_2001_are-ceos-rewarded-for-luck-the-ones-without-principals-are,"Are CEOs Rewarded for Luck? The Ones Without Principals Are,",The Quarterly Journal of Economics,2001,published,
bertrand-mullainathan_2001_do-people-mean-what-they-say-implications-for-subjective-sur,"Do People Mean What They Say? Implications for Subjective Survey Data,",American Economic Review Papers and Proceedings,2001,published,
bertrand-mullainathan_2003_enjoying-the-quiet-life-corporate-governance-and-managerial-,"Enjoying the Quiet Life? Corporate Governance and Managerial Preferences,",Journal of Political Economy,2003,published,
bertrand-mullainathan_2003_pyramids,"Pyramids,",Journal of the European Economic Association,2003,published,
bertrand-mullainathan_2004_are-emily-and-greg-more-employable-than-lakisha-and-jamal-a-,"Are Emily and Greg More Employable than Lakisha and Jamal? A Field Experiment on Labor Market Discrimination,",American Economic Review,2004,published,
bertrand-mullainathan_2005_profitable-investments-or-dissipated-cash-evidence-on-the-in,"Profitable Investments or Dissipated Cash? Evidence on the Investment-Cash Flow Relationship from Oil and Gas Lease Bidding,",,2005,working,
beshears-choi-clayton-harris-laibson-madrian_2025_optimal-illiquidity,Optimal Illiquidity,Journal of Financial Economics,2025,published,
beshears-choi-fuster-laibson-madrian_2013_what-goes-up-must-come-down-experimental-evidence-on-intuiti,What Goes Up Must Come Down? Experimental Evidence on Intuitive Forecasting,American Economic Review,2013,published,
beshears-choi-guo-laibson-madrian_2025_automatic-enrollment-with-a-12-default-contribution-rate,Automatic Enrollment with a 12\% Default Contribution Rate,Journal of Pension Economics \& Finance,2025,published,
beshears-choi-harris-laibson-madrian-sakong_2020_which-early-withdrawal-penalty-attracts-the-most-deposits-to,Which Early Withdrawal Penalty Attracts the Most Deposits to a Commitment Savings Account?,Journal of Public Economics,2020,published,
beshears-choi-hurwitz-laibson-madrian_2015_liquidity-in-retirement-savings-systems-an-international-com,Liquidity in Retirement Savings Systems: An International Comparison,American Economic Review Papers and Proceedings,2015,published,
beshears-choi-iwry-john-laibson-madrian_2020_building-emergency-savings-through-employersponsored-rainyda,Building Emergency Savings Through Employer-Sponsored Rainy-Day Savings Accounts,Tax Policy and the Economy,2020,published,
beshears-choi-kay-laibson-madrian-sinha_2008_the-importance-of-default-options-for-retirement-saving-outc,The Importance of Default Options for Retirement Saving Outcomes: Evidence from the United States,Lessons from Pension Reform in the Americas,2008,published,
beshears-choi-kolstad-kong-laibson-loewenstein-madrian-volpp_2020_do-physician-incentives-increase-patient-medication-adherenc,Do physician incentives increase patient medication adherence?,Health Services Research,2020,published,
beshears-choi-laibson-madrian-milkman_2011_using-implementation-intentions-prompts-to-enhance-influenza,Using Implementation Intentions Prompts to Enhance Influenza Vaccination Rates,Proceedings of the National Academy of Sciences,2011,published,
beshears-choi-laibson-madrian-milkman_2013_planning-prompts-as-a-means-of-increasing-preventive-screeni,Planning prompts as a means of increasing preventive screening rates,Preventive Medicine,2013,published,
beshears-choi-laibson-madrian-milkman_2015_the-effect-of-providing-peer-information-on-retirement-savin,The Effect of Providing Peer Information on Retirement Savings Decisions,Journal of Finance,2015,published,
beshears-choi-laibson-madrian-reynolds_2013_testimonials-do-not-convert-patients-from-brand-to-generic-m,Testimonials Do Not Convert Patients from Brand to Generic Medication,American Journal of Managed Care,2013,published,
beshears-choi-laibson-madrian-reynolds_2016_vaccination-rates-are-associated-with-functional-proximity-b,Vaccination Rates are Associated with Functional Proximity But Not Base Proximity of Vaccination Clinics,Medical Care,2016,published,
beshears-choi-laibson-madrian-siegfried-weller_2010_public-policy-and-saving-for-retirement-the-autosave-feature,Public Policy and Saving for Retirement: The 'Autosave' Features of the Pension Protection Act of 2006,Better Living Through Economics,2010,published,
beshears-choi-laibson-madrian-skimmyhorn_2022_borrowing-to-save-the-impact-of-automatic-enrollment-on-debt,Borrowing to Save? The Impact of Automatic Enrollment on Debt,Journal of Finance,2022,published,
beshears-choi-laibson-madrian-wise_2010_how-does-simplified-disclosure-affect-individuals-mutual-fun,How Does Simplified Disclosure Affect Individuals' Mutual Fund Choices?,Explorations in the Economics of Aging,2010,published,
beshears-choi-laibson-madrian-wise_2010_the-impact-of-employer-matching-on-savings-plan-participatio,The Impact of Employer Matching on Savings Plan Participation under Automatic Enrollment,Research Findings in the Economics of Aging,2010,published,
beshears-choi-laibson-madrian-zeldes_2014_what-makes-annuitization-more-appealing,What Makes Annuitization More Appealing?,Journal of Public Economics,2014,published,
beshears-choi-laibson-madrian_2005_early-decisions-a-regulatory-framework,Early Decisions: A Regulatory Framework,Swedish Economic Policy Review,2005,published,
beshears-choi-laibson-madrian_2008_how-are-preferences-revealed,How Are Preferences Revealed?,Journal of Public Economics,2008,published,
beshears-choi-laibson-madrian_2011_behavioral-economics-perspectives-on-public-sector-pension-p,Behavioral Economics Perspectives on Public Sector Pension Plans,Journal of Pension Economics and Finance,2011,published,
beshears-choi-laibson-madrian_2013_simplification-and-saving,Simplification and Saving,Journal of Economic Behavior and Organization,2013,published,
beshears-choi-laibson-madrian_2014_who-uses-the-roth-401k-and-how-do-they-use-it,"Who Uses the Roth 401(k), and How Do They Use It?",NBER Discoveries in the Economics of Aging,2014,published,
beshears-choi-laibson-madrian_2017_does-aggregated-returns-disclosure-increase-portfolio-riskta,Does Aggregated Returns Disclosure Increase Portfolio Risk-Taking?,Review of Financial Studies,2017,published,
beshears-choi-laibson-madrian_2017_does-frontloading-taxation-increase-savings-evidence-from-ro,Does Front-Loading Taxation Increase Savings? Evidence from Roth 401(k) Introductions,Journal of Public Economics,2017,published,
beshears-choi-laibson-madrian_2018_behavioral-household-finance,Behavioral Household Finance,Handbook of Behavioral Economics - Foundations and Applications 1,2018,published,
beshears-choi-laibson-madrian_2021_active-choice-implicit-defaults-and-the-incentives-to-choose,"Active choice, implicit defaults, and the incentives to choose",Organizational Behavior and Human Decision Processes,2021,published,
beshears-choi-laibson-maxted_2022_present-bias-causes-and-then-dissipates-autoenrollment-savin,Present Bias Causes and Then Dissipates Auto-Enrollment Savings Effects,AEA Papers and Proceedings,2022,published,
bessen-maskin_2009_sequential-innovation-patents-and-imitation,"Sequential Innovation, Patents, and Imitation",Rand Journal of Economics,2009,published,
bessone-rao-schilbach-schofield-toma)_nodate_the-economic-consequences-of-increasing-sleep-among-the-urba,The Economic Consequences of Increasing Sleep among the Urban Poor,Quarterly Journal of Economics,,published,
bevilaqua-bulow-rogoff_1992_official-creditor-seniority-and-burden-sharing-in-the-former,Official Creditor Seniority and Burden Sharing in the Former Soviet Bloc,Brookings Papers on Macroeconomic Activity,1992,published,
bhagat-shleifer-vishny_1990_hostile-takeovers-in-the-1980s-the-return-to-corporate-speci,Hostile Takeovers in the 1980s: The Return to Corporate Specialization,Brookings Papers on Economic Activity: Microeconomics,1990,published,
bhaskar-mailath-morris_2008_purification-in-the-infinitely-repeated-prisoners-dilemma,Purification in the Infinitely Repeated Prisoners' Dilemma,"Review of Economic Dynamics 11, 515-528",2008,published,
bhaskar-mailath-morris_2013_a-foundation-for-markov-equilibria-in-sequential-games-with-,A Foundation for Markov Equilibria in Sequential Games with Finite Social Memory,"The Review of Economic Studies 80, 925-948",2013,published,
bhat-haushofer-patel-quidt-rao-schilbach-vautrey)_nodate_the-longrun-effects-of-psychotherapy-on-depression-beliefs-a,"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes",,,published,
bhattacharya-cutler-goldman-hurd-joyce-lakdawalla-panis-shang_nodate_disability-forecasts-and-future-medicare-costs,Disability Forecasts and Future Medicare Costs,"Forum for Health Economics and Policy, Volume 7",,published,
bhattacharya-manuelli-straub_2018_imperfect-public-monitoring-with-a-fear-of-signal-distortion,Imperfect Public Monitoring with a Fear of Signal Distortion,,2018,published,
biasi-cullen-gilman-roussille_2025_how-does-wage-inequality-affect-the-labor-movement,How Does Wage Inequality Affect the Labor Movement?,,2025,working,
bick-blandin-deming-fuchs-schundeln-jessen_nodate_mind-the-gap-ai-adoption-in-europe-and-the-us,Mind the Gap: AI Adoption in Europe and the US,,,working,
bick-blandin-deming_nodate_the-rapid-adoption-of-generative-ai,The Rapid Adoption of Generative AI,Management Science,,published,
bie-carlier-chernozhukov-galichon_2022_vector-quantile-regression-and-optimal-transport-from-theory,"Vector Quantile Regression and Optimal Transport, from Theory to Numerics",Empirical Economics,2022,published,
bighelli-mauro-melitz-mertens_2023_european-firm-concentration-and-aggregate-productivity,European Firm Concentration and Aggregate Productivity,Journal of the European Economic Association,2023,published,
bilbiie-ghironi-melitz_2006_monopoly-power-and-endogenous-variety-in-dynamic-stochastic-,Monopoly Power and Endogenous Variety in Dynamic Stochastic General Equilibrium: Distortions and Remedies,,2006,working,
bilbiie-ghironi-melitz_2007_monetary-policy-and-business-cycles-with-endogenous-entry-an,Monetary Policy and Business Cycles with Endogenous Entry and Product Variety,NBER Macroeconomics Annual,2007,published,
bilbiie-ghironi-melitz_2012_endogenous-entry-product-variety-and-business-cycles,"Endogenous Entry, Product Variety, and Business Cycles",Journal of Political Economy,2012,published,
bilbiie-ghironi-melitz_2019_monopoly-power-and-endogenous-product-variety-distortions-an,Monopoly Power and Endogenous Product Variety: Distortions and Remedies,American Economic Journal: Macroeconomics,2019,published,
bilbiie-melitz_nodate_aggregatedemand-amplification-of-supply-disruptionsthe-entry,Aggregate-Demand Amplification of Supply Disruptions:The Entry-Exit Multiplier,,,working,
billings-deming-rockoff_2014_school-segregation-educational-attainment-and-crime-evidence,"School Segregation, Educational Attainment and Crime: Evidence from the End of Busing in Charlotte-Mecklenburg",Quarterly Journal of Economics,2014,published,
billings-deming-ross_2019_partners-in-crime,Partners in Crime,American Economic Journal: Applied Economics,2019,published,
binetti-nuzzi-stantcheva_2024_peoples-understanding-of-inflation,People's Understanding of Inflation,"Journal of Monetary Economics, 148: 103652",2024,published,
birkmeyer-chandra-cutler-dalton-sahni_2016_surgeon-specialization-and-operative-mortality-in-united-sta,Surgeon Specialization and Operative Mortality in United States: Retrospective Analysis,"British Medical Journal, 354 (i3571), June",2016,published,
bistline-clausing-mehrotra-stock-wolfram_nodate_climate-policy-reform-options-in-2025,Climate Policy Reform Options in 2025,,,working,
bjelac-chernozhukov-klotz-kueck-schmitz_2026_automatic-debiased-machine-learning-and-sensitivity-analysis,Automatic debiased machine learning and sensitivity analysis for sample selection models,arXiv preprint,2026,published,
bjorklund-freeman_1997_generating-equality-and-eliminating-poverty-the-swedish-way,Generating Equality and Eliminating Poverty: the Swedish Way,The Welfare State in Transition,1997,published,
bjorklund-freeman_2008_searching-for-optimal-inequalityincentives,Searching for Optimal Inequality/Incentives,,2008,working,
blackburn-bloom-freeman_1990_an-era-of-falling-earnings-and-rising-inequality,An Era of Falling Earnings and Rising Inequality,The Brookings Review,1990,published,
blackburn-bloom-freeman_1990_the-declining-economic-position-of-less-skilled-american-men,The Declining Economic Position of Less Skilled American Men,A Future of Lousy Jobs? The Changing Structure of U.S. Wages,1990,published,
blackburn-bloom-freeman_1991_changes-in-earnings-differentials-in-the-1980s-concordance-c,"Changes in Earnings Differentials in the 1980s: Concordance, Convergence, Causes and Consequences",Poverty and Propserity in the USA in the Late Twentieth Century,1991,published,
blackburn-chan-cherot-freeman-hu-matt-rhodes_2023_beyond-burnout-from-measuring-to-forecasting,Beyond Burnout: from Measuring to Forecasting,,2023,working,
blair-deming_2020_structural-increases-in-skill-demand-after-the-great-recessi,Structural Increases in Skill Demand after the Great Recession,American Economic Association Papers and Proceedings,2020,published,
blanchard-caballero_2016_global-safe-asset-shortage-the-role-of-central-banks,Global Safe Asset Shortage: The Role of Central Banks,"eds. Olivier Blanchard, Raghuram Rajan, Kenneth Rogoff, and Lawrence H. Summers, International Monetary Fund and MIT Press",2016,published,
blanchard-domash-summers_2022_bad-news-for-the-fed-from-the-beveridge-space,Bad News for the Fed from the Beveridge Space,,2022,working,
blanchard-fischer-froot-rogoff_1991_the-ems-the-emu-and-the-transition-to-a-common-currency,"The EMS, the EMU, and the Transition to a Common Currency",NBER Macroeconomics Annual 6,1991,published,
blanchard-gopinath-rogof-rogoff_2021_discussion-on-public-debt-and-fiscal-policy,Discussion on Public Debt and Fiscal Policy,IMF Economic Review,2021,published,
blanchard-katz_1992_regional-evolutions,Regional Evolutions,Brookings Papers on Economic Activity,1992,published,
blanchard-katz_1997_what-we-know-and-do-not-know-about-the-natural-rate-of-unemp,What We Know and Do Not Know About the Natural Rate of Unemployment,Journal of Economic Perspectives,1997,published,
blanchard-katz_1999_wage-dynamics-reconciling-theory-and-evidence,Wage Dynamics: Reconciling Theory and Evidence,American Economic Review Papers and Proceedings,1999,published,
blanchard-lopez-de-silanes-shleifer_1994_what-do-firms-do-with-cash-windfalls,What Do Firms Do with Cash Windfalls?,Journal of Financial Economics,1994,published,
blanchard-shleifer_2001_federalism-with-and-without-political-centralization-china-v,Federalism With and Without Political Centralization: China versus Russia,Transition Economies: How Much Progress?,2001,published,
blanchard-summers_1984_perspectives-on-high-world-real-interest-rates,Perspectives on High World Real Interest Rates,Brookings Papers on Economic Activity,1984,published,
blanchard-summers_1986_fiscal-increasing-returns-hysteresis-real-wages-and-unemploy,"Fiscal Increasing Returns, Hysteresis, Real Wages and Unemployment",,1986,working,
blanchard-summers_1986_hysteresis-and-the-european-unemployment-problem,Hysteresis and the European Unemployment Problem,,1986,working,
blanchard-summers_1986_hysteresis-in-unemployment,Hysteresis in Unemployment,European Economic Review,1986,published,
blanchard-summers_1987_is-the-rate-of-profit-falling,Is the Rate of Profit Falling?,Brookings Papers on Economic Activity,1987,published,
blanchard-summers_1988_beyond-the-natural-rate-hypothesis,Beyond the Natural Rate Hypothesis,American Economic Review,1988,published,
blanchard-summers_1988_should-governments-learn-to-live-with-inflation,Should Governments Learn to Live with Inflation?,American Economic Review,1988,published,
blanchard-summers_1990_should-governments-learn-to-live-with-inflation-reply,Should Governments Learn to Live with Inflation? Reply,Brookings Papers on Economic Activity,1990,published,
blanchard-summers_2015_inflation-and-activity-two-explorations-and-their-monetary-p,Inflation and Activity – Two Explorations and Their Monetary Policy Implications,(2015),2015,published,
blanchard-summers_2018_rethinking-stabilization-policy-evolution-or-revolution,Rethinking Stabilization Policy: Evolution or Revolution?,,2018,working,
blanchflower-bryson-freeman_2020_unions-raise-worker-wellbeing,Unions Raise Worker Wellbeing,,2020,working,
blanchflower-freeman_1992_unionism-in-the-us-and-other-oecd-countries,Unionism in the U.S. and Other OECD Countries,Industrial Relations Vol 31:1,1992,published,
blanchflower-freeman_1993_did-the-thatcher-reforms-change-british-labour-market-perfor,Did the Thatcher Reforms Change British Labour Market Performance?,Is the British Labour Market Different?,1993,published,
blanchflower-freeman_1994_the-legacy-of-communist-labor-relations,The Legacy of Communist Labor Relations,,1994,working,
blanchflower-freeman_1996_growing-into-work,Growing Into Work,,1996,working,
blanchflower-freeman_1997_creating-jobs-for-youth-getting-the-economy-going-is-better-,Creating Jobs for Youth: Getting the Economy Going is Better than Cutting Wages or Boosting Training,New Economy,1997,published,
